lemma;ipm;r;d;doc;dicts
бегать;59.2;99;93;1848;5
бежать;143.6;100;93;2758;5
беречь;23.4;100;95;1095;5
беседовать;33.8;99;95;1444;6
беспокоиться;28.1;99;93;1113;6
благодарить;31.4;100;94;1349;6
болеть1;68.5;100;94;2119;5
болеть2;68.5;100;94;2119;5
бороться;70.3;100;95;3191;5
бояться;266.5;100;94;4549;6
брать;226.3;100;96;5836;5
бросать;56.2;100;95;1933;5
будить;15.1;96;92;719;6
быть;12160.7;100;98;34184;5
варить;29.3;98;89;952;6
везти;47;100;95;1702;5
верить;197.1;100;96;4336;6
вернуть;68.5;100;96;2699;5
вернуться;311.2;100;96;5844;5
вести;280.3;100;98;7897;5
вешать;12;98;93;701;7
видеть;818.2;100;96;9914;7
висеть;81.3;100;93;2128;5
владеть;45.7;100;96;2244;7
внести;57.4;100;93;3312;5
возвращать;20.7;100;96;1206;6
возвращаться;125.8;100;96;3667;6
возражать;30.2;99;95;1256;6
возразить;34.9;98;92;1153;5
волновать;33.1;100;96;1577;5
волноваться;49.9;99;94;1465;6
воспитывать;20.8;100;94;1037;5
восстановить;37.8;100;95;1972;5
восхищаться;16.7;98;95;800;5
вручать;8.5;96;94;533;5
вспоминать;135.9;100;96;3532;6
вставать;69.1;100;95;2253;6
встать;172.1;100;93;3548;5
встретить;113.5;100;96;3378;6
встретиться;88.1;100;96;2768;5
встречать;77.4;100;96;2613;5
встречаться;106.8;100;96;3750;5
вступать;40.9;100;94;2098;6
входить;157.9;100;96;6332;6
выбирать;65.2;100;97;3122;7
выбрать;107.9;100;96;4748;5
выбросить;32.4;100;94;1311;5
вывести;53.4;100;97;2495;5
выводить;25.2;100;97;1401;5
выдавать;44.1;100;96;2104;5
выезжать;19.5;100;95;1080;5
вызывать;142.4;100;97;5228;5
выиграть;52.3;100;91;2239;5
выигрывать;13.9;100;91;822;5
выйти;480.9;100;96;8764;5
выключать;5;94;91;354;5
вынимать;12.7;99;93;675;5
выносить;28.6;100;94;1471;5
вынуть;37.8;98;91;1088;5
выписывать;9.8;98;95;632;6
выполнять;92.3;100;93;4098;6
выпускать;53.4;100;95;2638;5
вырасти;85.3;100;96;3787;5
выращивать;10.2;99;92;637;5
выступать;138.8;100;93;5090;5
вытирать;15.5;93;90;717;5
выходить;201.6;100;97;5550;6
выяснять;13.3;98;95;810;5
гасить;6.8;95;93;451;5
гладить;19.1;97;91;747;5
говорить;1755;100;96;17120;6
голосовать;22.8;99;91;1054;5
гордиться;32.9;100;96;1532;5
гореть;76.6;100;93;2120;5
готовить;76.7;100;96;3180;5
готовиться;70.9;100;96;3092;5
давать;370.7;100;98;9941;7
дарить;22.3;100;94;1092;6
дать;573.1;100;97;11209;5
двигаться;87.3;100;96;2799;5
делать;701.1;100;97;12524;6
делить;22.5;100;96;1273;5
делиться;35.4;100;95;1883;5
держать;196.5;100;95;4204;5
держаться;86.4;100;95;2567;5
добавлять;27.4;100;94;1462;5
добиваться;29.4;100;95;1652;6
добывать;16.3;99;95;937;5
доверять;33.7;100;96;1495;5
договариваться;17.6;100;85;826;5
договориться;54.8;100;95;2198;5
догонять;10.1;98;92;579;5
дополнять;9;97;91;665;5
доставать;31.2;97;93;1317;6
достать;94.4;100;92;2127;5
достигать;35.2;100;89;2055;5
думать;755.5;100;95;9254;6
дуть;18.9;98;93;876;5
дышать;64.4;99;93;1869;5
ездить;93.6;99;95;2966;6
ехать;198.2;100;95;3686;5
жалеть;51.4;100;94;1714;5
жаловаться;46.1;100;95;1898;5
жарить;8.8;93;92;501;5
ждать;360.2;100;95;6976;6
желать;123.1;100;96;4182;5
жениться;50;100;93;1483;6
жить;725.5;100;96;10085;5
заболеть1;33.8;100;96;1380;5
заболеть2;33.8;100;96;1380;5
заботиться;27.2;100;96;1438;7
забывать;65.4;100;97;2923;6
завести;41.5;99;95;1675;5
зависеть;115;100;94;5293;5
заводить;17.1;100;94;925;5
завязать;14;99;94;738;5
завязывать;4.9;92;93;338;5
задавать;45.1;100;97;2039;5
задать;44.1;100;96;2021;5
зажечь;18.2;95;92;829;5
зажигать;9.2;99;93;541;5
зайти;85.2;100;94;2306;5
заказать;32.8;100;95;1490;5
заказывать;14.5;99;95;889;6
заканчивать;22.9;100;95;1283;6
заключать;15.8;100;92;986;5
заключить;55.1;100;93;2563;5
закончить;89.2;100;97;3148;6
закрывать;36.4;100;95;1649;5
закрыть;97.9;100;95;2967;5
заменять;16.2;100;96;1015;6
заметить;253.9;100;95;5724;5
замечать;79.4;100;95;2470;5
занимать;112.7;100;95;4949;6
заниматься;240.8;100;96;7727;6
занять;115.6;100;96;4754;5
записать;61.5;100;96;2314;6
записывать;28.6;99;94;1187;6
заплатить;38.9;100;95;1987;6
запоминать;9.7;100;94;552;7
запрещать;18.3;100;95;1101;5
заслуживать;22.4;100;95;1336;5
заставлять1;61;100;97;2614;5
заставлять2;61;100;97;2614;5
засыпать;30.8;99;94;1270;5
захватить;41.5;100;96;1608;5
захватывать;12.3;99;95;794;5
заходить;59.6;100;94;2019;6
защитить;39.1;100;96;2282;5
защищать;51;100;96;2545;6
заявить;154.2;100;93;6252;5
заявлять;31;100;94;1904;6
звать;131.3;100;94;2934;7
звонить;115.4;97;93;2327;6
здороваться;12.1;94;93;598;5
знакомиться;18;100;95;1001;5
знать;1713.8;100;95;13494;7
значить;134;100;93;4229;5
играть;319.1;100;95;6407;5
идти;957.1;100;96;13815;6
избирать;5.5;90;90;369;5
извинять;1.6;59;86;112;5
извиняться;14.1;94;92;687;5
изменять1;22.1;100;93;1235;5
изменять2;22.1;100;93;1235;5
измерять;9.2;97;87;541;5
изобретать;5.8;97;94;402;6
изучать;57;100;94;2603;6
иметь;906.7;100;96;17493;5
интересовать;57;100;97;2315;5
интересоваться;40.8;100;96;1880;6
искать;206.9;100;96;5266;5
исключать;25.6;100;93;1561;5
исключить;46;100;95;2612;5
исполнять;44.5;100;94;1934;5
использовать;249.6;100;90;8730;7
исправлять;6.1;99;95;436;6
